SurrogateId,Period,[Australian dollar ],[Brazilian real ],[Canadian dollar ],[Swiss franc ],[Chinese yuan renminbi ],[Czech koruna ],[Danish krone ],[UK pound sterling ],[Hong Kong dollar ],[Croatian kuna ],[Hungarian forint ],[Indonesian rupiah ],[Israeli shekel ],[Indian rupee ],[Iceland krona ],[Japanese yen ],[Korean won ],[Mexican peso ],[Malaysian ringgit ],[Norwegian krone ],[New Zealand dollar ],[Philippine peso ],[Polish zloty ],[Romanian leu ],[Russian rouble ],[Swedish krona ],[Singapore dollar ],[Thai baht ],[Turkish lira ],[US dollar ],[South African rand ],[EU euro ]
770,2017/02/01,1.318350324,3.143466172,1.306487488,0.989805375,6.883225209,25.04263207,6.892493049,0.791640408,7.759036145,6.917979611,287.0991659,13367.93327,3.768489342,67.42724745,0,113.2993513,1156.496756,20.70481928,4.428359592,8.232622799,1.373215941,49.78035218,4.002409639,4.214828545,60.11807229,8.735217794,1.412418906,35.11955514,3.760982391,1,13.42326228,0.926784059
771,2017/01/31,1.320130172,3.118084612,1.306927011,0.991910739,6.877731288,25.12412831,6.915202232,0.80060437,7.757880056,6.953974895,288.8331009,13355.23942,3.772663877,67.68991167,0,113.3798233,1157.377964,20.72105997,4.426592283,8.264063226,1.367642957,49.73407717,4.020362622,4.186889819,59.90720595,8.787075779,1.413389121,35.13993491,3.777963738,1,13.43003254,0.929800093
772,2017/01/30,1.327281279,3.134336783,1.315428034,1.003668862,6.877046096,25.420508,6.996707432,0.79901223,7.758795861,7.034148636,292.3800564,13333.37723,3.784383819,67.95061148,0,114.5437441,1178.052681,20.77610536,4.430291627,8.349764817,1.379868297,49.76387582,4.074317968,4.234054563,59.99924741,8.879586077,1.427751646,35.26999059,3.815710254,1,13.59454374,0.940733772
773,2017/01/27,1.326561183,3.167680929,1.311862185,1.000748994,6.895796274,25.29819305,6.962737571,0.797397247,7.758917704,7.004774834,291.7610711,13366.62298,3.787379459,68.06759667,0,115.1671192,1174.009924,21.10776145,4.431513903,8.350341728,1.378709859,49.82773149,4.063289954,4.218518865,60.07162251,8.850107668,1.427768935,35.28040446,3.877539556,1,13.52598071,0.936241925
774,2017/01/26,1.327570093,3.186261682,1.312897196,0.999345794,6.881682243,25.25327103,6.950186916,0.795728972,7.757570093,6.990654206,290.635514,13379.13084,3.787570093,68.18411215,0,114.3925234,1166.485981,21.00560748,4.428971963,8.337850467,1.382523364,49.88130841,4.059345794,4.200280374,60.49242991,8.846728972,1.42317757,35.3046729,3.865514019,1,13.37401869,0.934579439
775,2017/01/25,1.323001024,3.170157312,1.309690031,0.998976077,6.882155822,25.15312296,6.92227497,0.794219492,7.757888858,6.979242297,288.2993577,13329.50759,3.784976264,68.08014521,0,113.3668435,1164.898073,21.4720283,4.431536815,8.326631295,1.376617332,49.63790375,4.062273108,4.187470911,59.22759006,8.827422508,1.418411989,35.23038257,3.824071488,1,13.27254957,0.930838686
776,2017/01/24,1.320989952,3.163379233,1.327409751,0.999069594,6.859043543,25.14049125,6.918589505,0.803405285,7.757443245,6.982229252,288.6769632,13322.32043,3.78777447,68.09545962,0,113.3699293,1165.119092,21.2928917,4.434964645,8.334387793,1.381838482,49.7860067,4.068198735,4.188221064,59.22580945,8.837458132,1.418496464,35.21027168,3.764886491,1,13.36462598,0.930405657
777,2017/01/23,1.321231918,3.161269249,1.331404573,1.001119925,6.853569762,25.22351843,6.939990667,0.8039944,7.757722818,7.004946337,289.1460569,13363.55576,3.799720019,68.15958936,0,113.5977601,1168.147457,21.41259916,4.437984134,8.393840411,1.389920672,49.94307046,4.080167989,4.197666822,59.53103126,8.876621559,1.421278581,35.30004666,3.786654223,1,13.55650957,0.933271115
778,2017/01/20,1.327595937,3.195729872,1.337189616,1.00893529,6.87782167,25.41478555,6.993886381,0.814475169,7.758370956,7.06969526,290.7167043,13409.99812,3.809255079,68.17390895,0,115.1899925,1176.31678,21.98081264,4.447422874,8.46407073,1.400583145,50.05267118,4.110139202,4.226862302,59.82646727,8.942155756,1.429458239,35.44018059,3.824774266,1,13.62396539,0.94055681
779,2017/01/19,1.322928384,3.208005249,1.328177728,1.005718035,6.865485564,25.32902137,6.970378703,0.811351706,7.757967754,7.050056243,289.0888639,13373.00337,3.81224222,68.13601425,0,114.576303,1177.259093,21.97609674,4.449006374,8.454536933,1.392669666,50.06092988,4.098987627,4.211473566,59.59898763,8.949943757,1.42632171,35.39463817,3.819553806,1,13.59730034,0.937382827
